,Date,Count,WeekDate,WeekCount
447,2016-02-19,12239.0,2016-02-15,56797.0
448,2016-02-20,5190.0,2016-02-15,56797.0
449,2016-02-21,11544.0,2016-02-15,56797.0
450,2016-02-22,4090.0,2016-02-22,54302.0
451,2016-02-23,9936.0,2016-02-22,54302.0
452,2016-02-24,7623.0,2016-02-22,54302.0
453,2016-02-25,5634.0,2016-02-22,54302.0
454,2016-02-26,10953.0,2016-02-22,54302.0
455,2016-02-27,5690.0,2016-02-22,54302.0
456,2016-02-28,10376.0,2016-02-22,54302.0
457,2016-02-29,3489.0,2016-02-29,58217.0
458,2016-03-01,10049.0,2016-02-29,58217.0
459,2016-03-02,9605.0,2016-02-29,58217.0
460,2016-03-03,7137.0,2016-02-29,58217.0
461,2016-03-04,13885.0,2016-02-29,58217.0
462,2016-03-05,1649.0,2016-02-29,58217.0
463,2016-03-06,12403.0,2016-02-29,58217.0
464,2016-03-07,4329.0,2016-03-07,71448.0
465,2016-03-08,8576.0,2016-03-07,71448.0
466,2016-03-09,9268.0,2016-03-07,71448.0
467,2016-03-10,11526.0,2016-03-07,71448.0
468,2016-03-11,6748.0,2016-03-07,71448.0
469,2016-03-12,13055.0,2016-03-07,71448.0
470,2016-03-13,17946.0,2016-03-07,71448.0
471,2016-03-14,4229.0,2016-03-14,52830.0
472,2016-03-15,6343.0,2016-03-14,52830.0
473,2016-03-16,9742.0,2016-03-14,52830.0
474,2016-03-17,7294.0,2016-03-14,52830.0
475,2016-03-18,8891.0,2016-03-14,52830.0
476,2016-03-19,3813.0,2016-03-14,52830.0
477,2016-03-20,12518.0,2016-03-14,52830.0
478,2016-03-21,3838.0,2016-03-21,49683.0
479,2016-03-22,9973.0,2016-03-21,49683.0
480,2016-03-23,8240.0,2016-03-21,49683.0
481,2016-03-24,7876.0,2016-03-21,49683.0
482,2016-03-25,5533.0,2016-03-21,49683.0
483,2016-03-26,3771.0,2016-03-21,49683.0
484,2016-03-27,10452.0,2016-03-21,49683.0
